Frame,Type,Timestamp
1,relevant,0.04
2,relevant,0.08
3,relevant,0.12
4,relevant,0.16
5,relevant,0.2
6,relevant,0.24
7,relevant,0.28
8,relevant,0.32
9,irrelevant,0.36
10,irrelevant,0.4
11,relevant,0.44
12,irrelevant,0.48
13,irrelevant,0.52
14,irrelevant,0.56
15,irrelevant,0.6
16,irrelevant,0.64
17,irrelevant,0.68
18,irrelevant,0.72
19,irrelevant,0.76
20,irrelevant,0.8
21,irrelevant,0.84
22,irrelevant,0.88
23,irrelevant,0.92
24,irrelevant,0.96
25,irrelevant,1.0
26,irrelevant,1.04
27,irrelevant,1.08
28,irrelevant,1.12
29,irrelevant,1.16
30,irrelevant,1.2
31,irrelevant,1.24
32,irrelevant,1.28
33,irrelevant,1.32
34,relevant,1.36
35,relevant,1.4
36,relevant,1.44
37,relevant,1.48
38,relevant,1.52
39,relevant,1.56
40,relevant,1.6
41,relevant,1.64
42,relevant,1.68
43,relevant,1.72
44,relevant,1.76
45,relevant,1.8
46,relevant,1.84
47,relevant,1.88
48,relevant,1.92
49,relevant,1.96
50,relevant,2.0
51,relevant,2.04
52,relevant,2.08
53,relevant,2.12
54,relevant,2.16
55,relevant,2.2
56,relevant,2.24
57,relevant,2.28
58,relevant,2.32
59,relevant,2.36
60,relevant,2.4
61,relevant,2.44
62,relevant,2.48
63,relevant,2.52
64,relevant,2.56
65,relevant,2.6
66,relevant,2.64
67,relevant,2.68
68,relevant,2.72
69,relevant,2.76
70,relevant,2.8
71,relevant,2.84
72,relevant,2.88
73,relevant,2.92
74,relevant,2.96
75,relevant,3.0
76,relevant,3.04
77,relevant,3.08
78,relevant,3.12
79,relevant,3.16
80,relevant,3.2
81,relevant,3.24
82,relevant,3.28
83,relevant,3.32
84,relevant,3.36
85,relevant,3.4
86,relevant,3.44
87,relevant,3.48
88,relevant,3.52
89,relevant,3.56
90,relevant,3.6
91,relevant,3.64
92,relevant,3.68
93,relevant,3.72
94,relevant,3.76
95,relevant,3.8
96,relevant,3.84
97,relevant,3.88
98,relevant,3.92
99,relevant,3.96
100,relevant,4.0
101,relevant,4.04
102,relevant,4.08
103,irrelevant,4.12
104,irrelevant,4.16
105,irrelevant,4.2
106,irrelevant,4.24
107,irrelevant,4.28
108,irrelevant,4.32
109,irrelevant,4.36
110,relevant,4.4
111,relevant,4.44
112,relevant,4.48
113,relevant,4.52
114,relevant,4.56
115,relevant,4.6
116,relevant,4.64
117,relevant,4.68
118,relevant,4.72
119,relevant,4.76
120,relevant,4.8
121,relevant,4.84
122,relevant,4.88
123,relevant,4.92
124,relevant,4.96
125,relevant,5.0
126,relevant,5.04
127,relevant,5.08
128,relevant,5.12
129,relevant,5.16
130,relevant,5.2
131,relevant,5.24
132,relevant,5.28
133,relevant,5.32
134,relevant,5.36
135,relevant,5.4
136,relevant,5.44
137,relevant,5.48
138,relevant,5.52
139,relevant,5.56
140,relevant,5.6
141,relevant,5.64
142,relevant,5.68
143,relevant,5.72
144,relevant,5.76
145,relevant,5.8
146,relevant,5.84
147,relevant,5.88
148,relevant,5.92
149,relevant,5.96
150,relevant,6.0
151,relevant,6.04
152,relevant,6.08
153,relevant,6.12
154,relevant,6.16
155,relevant,6.2
156,relevant,6.24
157,relevant,6.28
158,relevant,6.32
159,relevant,6.36
160,relevant,6.4
161,relevant,6.44
162,relevant,6.48
163,relevant,6.52
164,relevant,6.56
165,relevant,6.6
166,relevant,6.64
167,relevant,6.68
168,relevant,6.72
169,relevant,6.76
170,relevant,6.8
171,relevant,6.84
172,relevant,6.88
173,relevant,6.92
174,relevant,6.96
175,relevant,7.0
176,relevant,7.04
177,relevant,7.08
178,relevant,7.12
179,relevant,7.16
180,relevant,7.2
181,relevant,7.24
182,relevant,7.28
183,relevant,7.32
184,relevant,7.36
185,relevant,7.4
186,relevant,7.44
187,relevant,7.48
188,relevant,7.52
189,relevant,7.56
190,relevant,7.6
191,relevant,7.64
192,relevant,7.68
193,relevant,7.72
194,relevant,7.76
195,relevant,7.8
196,relevant,7.84
197,relevant,7.88
198,relevant,7.92
199,relevant,7.96
200,relevant,8.0
201,relevant,8.04
202,relevant,8.08
203,relevant,8.12
204,relevant,8.16
205,relevant,8.2
206,relevant,8.24
207,relevant,8.28
208,relevant,8.32
209,relevant,8.36
210,relevant,8.4
211,relevant,8.44
212,relevant,8.48
213,relevant,8.52
214,relevant,8.56
215,relevant,8.6
216,relevant,8.64
217,relevant,8.68
218,relevant,8.72
219,relevant,8.76
220,relevant,8.8
221,relevant,8.84
222,relevant,8.88
223,relevant,8.92
224,relevant,8.96
225,relevant,9.0
226,relevant,9.04
227,relevant,9.08
228,relevant,9.12
229,relevant,9.16
230,relevant,9.2
231,relevant,9.24
232,relevant,9.28
233,relevant,9.32
234,relevant,9.36
235,relevant,9.4
236,relevant,9.44
237,relevant,9.48
238,relevant,9.52
239,relevant,9.56
240,relevant,9.6
241,relevant,9.64
242,relevant,9.68
243,relevant,9.72
244,relevant,9.76
245,relevant,9.8
246,relevant,9.84
247,relevant,9.88
248,relevant,9.92
249,relevant,9.96
250,relevant,10.0
251,relevant,10.04
252,relevant,10.08
253,relevant,10.12
254,relevant,10.16
255,relevant,10.2
256,relevant,10.24
257,relevant,10.28
258,relevant,10.32
259,relevant,10.36
260,relevant,10.4
261,relevant,10.44
262,relevant,10.48
263,relevant,10.52
264,relevant,10.56
265,relevant,10.6
266,relevant,10.64
267,relevant,10.68
268,relevant,10.72
269,relevant,10.76
270,relevant,10.8
271,relevant,10.84
272,relevant,10.88
273,relevant,10.92
274,relevant,10.96
275,relevant,11.0
276,relevant,11.04
277,relevant,11.08
278,relevant,11.12
279,relevant,11.16
280,relevant,11.2
281,relevant,11.24
282,relevant,11.28
283,relevant,11.32
284,relevant,11.36
285,relevant,11.4
286,relevant,11.44
287,relevant,11.48
288,relevant,11.52
289,relevant,11.56
290,relevant,11.6
291,relevant,11.64
292,relevant,11.68
293,relevant,11.72
294,relevant,11.76
295,relevant,11.8
296,relevant,11.84
297,relevant,11.88
298,relevant,11.92
299,relevant,11.96
300,relevant,12.0
301,relevant,12.04
302,relevant,12.08
303,relevant,12.12
304,relevant,12.16
305,relevant,12.2
306,relevant,12.24
307,relevant,12.28
308,relevant,12.32
309,relevant,12.36
310,relevant,12.4
311,relevant,12.44
312,relevant,12.48
313,relevant,12.52
314,relevant,12.56
315,relevant,12.6
316,relevant,12.64
317,relevant,12.68
318,relevant,12.72
319,relevant,12.76
320,relevant,12.8
321,relevant,12.84
322,relevant,12.88
323,relevant,12.92
324,relevant,12.96
325,relevant,13.0
326,relevant,13.04
327,relevant,13.08
328,relevant,13.12
329,relevant,13.16
330,relevant,13.2
331,irrelevant,13.24
332,irrelevant,13.28
333,irrelevant,13.32
334,irrelevant,13.36
335,irrelevant,13.4
336,irrelevant,13.44
337,irrelevant,13.48
338,irrelevant,13.52
339,irrelevant,13.56
340,irrelevant,13.6
341,irrelevant,13.64
342,irrelevant,13.68
343,irrelevant,13.72
344,irrelevant,13.76
345,irrelevant,13.8
346,irrelevant,13.84
347,irrelevant,13.88
348,irrelevant,13.92
349,irrelevant,13.96
350,irrelevant,14.0
351,irrelevant,14.04
352,irrelevant,14.08
353,irrelevant,14.12
354,irrelevant,14.16
355,irrelevant,14.2
356,irrelevant,14.24
357,irrelevant,14.28
358,irrelevant,14.32
359,irrelevant,14.36
360,irrelevant,14.4
361,irrelevant,14.44
362,irrelevant,14.48
363,irrelevant,14.52
364,irrelevant,14.56
365,irrelevant,14.6
366,irrelevant,14.64
367,irrelevant,14.68
368,irrelevant,14.72
369,irrelevant,14.76
370,irrelevant,14.8
371,irrelevant,14.84
372,irrelevant,14.88
373,irrelevant,14.92
374,irrelevant,14.96
375,irrelevant,15.0
376,irrelevant,15.04
377,irrelevant,15.08
378,irrelevant,15.12
379,irrelevant,15.16
380,irrelevant,15.2
381,irrelevant,15.24
382,irrelevant,15.28
383,irrelevant,15.32
384,irrelevant,15.36
385,irrelevant,15.4
386,irrelevant,15.44
387,irrelevant,15.48
388,irrelevant,15.52
389,irrelevant,15.56
390,irrelevant,15.6
391,irrelevant,15.64
392,irrelevant,15.68
393,irrelevant,15.72
394,irrelevant,15.76
395,irrelevant,15.8
396,irrelevant,15.84
397,irrelevant,15.88
398,irrelevant,15.92
399,irrelevant,15.96
400,irrelevant,16.0
401,irrelevant,16.04
402,irrelevant,16.08
403,irrelevant,16.12
404,irrelevant,16.16
405,irrelevant,16.2
406,irrelevant,16.24
407,irrelevant,16.28
408,irrelevant,16.32
